[00:10.97] They [00:11.23]
[02:45.36] think [02:45.72]
[02:45.92] they [02:46.40]
[02:46.70] call— [02:47.45]

[02:47.93] Oh, [02:48.37]
[02:48.37] I [02:48.60]
[02:48.81] think [02:49.20]
[02:49.44] they [02:49.80]
[02:50.00] call— [02:50.56]

[02:50.92] Oh, [02:51.34]
[02:51.34] I [02:51.57]
[02:51.81] think [02:52.21]
[02:52.41] they [02:52.92]
[02:53.11] call [02:54.00]
[02:54.67] this [02:55.07]
[02:55.07] love [02:56.28]

[03:05.41] This [03:06.01]
[03:06.01] love [03:07.74]
